Titulo,Precio,Precio Oferta,Editorial,Descuento,Formato,Autor,URL Libro,Idioma,Pagínas,ISBN,Origen,Encuadernación,Año,Dimen Largo,Dimen Ancho,Genero,Total Reviews,Valoración,Estado,Unidades,Imagen URL
Alegría y Sofía Kaos 2,17500,13130,Planeta,0.25,Libro Físico,Daniela Thiers,https://www.buscalibre.cl/libro-alegria-y-sofia-kaos-2/9789566185239/p/54242488,Español,142,9789566185239,Chile,Tapa Blanda,2022,16.00,0.00,Comics y dibujos animados; Ficción moderna y contemporánea,8,5.0,Libro Nuevo,42,https://images.cdn2.buscalibre.com/fit-in/360x360/6e/c9/6ec91f538355f3af2a8a1f2b8351e1f2.jpg
Historia de una Gaviota y del Gato que le Enseñó a Volar,13900,11820,Planeta,0.15,Libro Físico,Luis Sepúlveda,https://www.buscalibre.cl/libro-historia-de-una-gaviota-y-del-gato-que-le-enseno-a-volar/9789566335047/p/56019455,Español,144,9789566335047,Chile,Tapa Blanda,2024,12.00,0.00,Ficción literaria,2,5.0,Libro Nuevo,55,https://images.cdn1.buscalibre.com/fit-in/360x360/03/a9/03a97c4cb1f6243541510d307524bed4.jpg
Yo Puedo,10000,8500,Beascoa,0.15,Libro Físico,Andrea Cardemil,https://www.buscalibre.cl/libro-yo-puedo/9789569598258/p/54378623,Español,16,9789569598258,Chile,Tapa Dura,2022,16.00,16.00,"Con ilustraciones de cuentos; Cuestiones sobre emociones, estados de ánimo y sentimientos",8,5.0,Libro Nuevo,93,https://images.cdn3.buscalibre.com/fit-in/360x360/73/c2/73c2165126d61518be46f4928a596bb5.jpg
Wolfsong: La Cancion del Lobo,16990,14440,Vrya,0.15,Libro Físico,TJ Klune,https://www.buscalibre.cl/libro-wolfsong-la-cancion-del-lobo/9789877475173/p/51615401,Español,704,9789877475173,Chile,Tapa Blanda,2023,15.00,21.00,Novelas románticas de fantasía y paranormal,263,5.0,Libro Nuevo,78,https://images.cdn2.buscalibre.com/fit-in/360x360/30/25/30257065f8ce9c68ceac9611bc2e37f5.jpg
Por que los Perros Mueven la Cola? Y Otras Preguntas que Hago a Veces,12000,10200,B De Blok,0.15,Libro Físico,Gabriel León,https://www.buscalibre.cl/libro-por-que-los-perros-mueven-la-cola-y-otras-preguntas-que-hago-a-veces/9789566056072/p/52085142,Español,128,9789566056072,Chile,Tapa Blanda,2019,,,Ciencias matemáticas; ciencia y tecnología para jóvenes,60,5.0,Libro Nuevo,93,https://images.cdn1.buscalibre.com/fit-in/360x360/67/1a/671acc703d80c4d7415db93fb21106d1.jpg
El Club de las 5 de la Mañana,12000,10200,Debolsillo,0.15,Libro Físico,Robin Sharma,https://www.buscalibre.cl/libro-el-club-de-las-5-de-la-manana/9789563254990/p/54237813,Español,400,9789563254990,Chile,Tapa Blanda,2021,13.00,19.00,Autoayuda y desarrollo personal,32,4.5,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/f0/4b/f04b35ac0fa8401186661ad436a6da5f.jpg
Querida Ijeawele. Cómo educar en el feminismo,9000,7650,LITERATURA RANDOM HOUSE,0.15,Libro Físico,Chimamanda Ngozi Adichie,https://www.buscalibre.cl/libro-querida-ijeawele-como-educar-en-el-feminismo/9789588979588/p/48934768,Español,89,9789588979588,Chile,Tapa Blanda,2017,16.00,10.80,Discuros; Feministas; Historia y crítica literaria,8,5.0,Libro Nuevo,19,https://images.cdn2.buscalibre.com/fit-in/360x360/b4/68/b468f2a41e957df594b970a524fa63a9.jpg
La piedra de la locura,12000,10200,ANAGRAMA,0.15,Libro Físico,Benjamín Labatut,https://www.buscalibre.cl/libro-la-piedra-de-la-locura/9788433916556/p/53672050,Español,80,9788433916556,Chile,Tapa Blanda,2021,17.30,10.50,Historiografía,10,4.5,Libro Nuevo,25,https://images.cdn1.buscalibre.com/fit-in/360x360/92/f1/92f17c28bf08259438051110cc200f92.jpg
Ansiedad?  Cuál Ansiedad?,18490,12020,Planeta Comic,0.35,Libro Físico,Alberto Montt,https://www.buscalibre.cl/libro-ansiedad-cual-ansiedad/9789566185451/p/55194434,Español,160,9789566185451,Chile,Tapa Dura,2023,24.00,17.00,Cómics,4,5.0,Libro Nuevo,35,https://images.cdn2.buscalibre.com/fit-in/360x360/cf/74/cf743306b2da5968fde9b4a15f451eea.jpg
Todos Deberíamos ser Feministas,9000,7650,Literatura Random House,0.15,Libro Físico,Chimamanda Ngozi Adichie,https://www.buscalibre.cl/libro-todos-deberiamos-ser-feministas/9789569766411/p/48368154,Español,64,9789569766411,Chile,Tapa Blanda,2015,,,Feministas,268,4.5,Libro Nuevo,36,https://images.cdn3.buscalibre.com/fit-in/360x360/b9/23/b92316d96f1b211dc408168105c54ad0.jpg
