Titulo,Precio,Precio Oferta,Editorial,Descuento,Formato,Autor,URL Libro,Idioma,Pagínas,ISBN,Origen,Encuadernación,Año,Dimen Largo,Dimen Ancho,Genero,Total Reviews,Valoración,Estado,Unidades,Imagen URL
El Buzón de las Impuras,25900,19430,Umbriel,0.25,Libro Físico,Francisca Solar García,https://www.buscalibre.cl/libro-el-buzon-de-las-impuras/9789566196778/p/58773218,Español,576,9789566196778,Chile,Tapa Blanda,2024,15.00,23.00,Ficción,72,5.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/36/65/3665b7d148187a1063e75ff18a520ee7.jpg
Limpia,15000,12750,Penguin Random House Grupo Editorial,0.15,Libro Físico,Alia Trabucco Zerán,https://www.buscalibre.cl/libro-limpia/9789566058458/p/54355857,Español,228,9789566058458,Chile,Tapa Blanda,2022,15.00,23.00,Chile; Ficción literaria,27,4.5,Libro Nuevo,40,https://images.cdn3.buscalibre.com/fit-in/360x360/d2/df/d2dfff4d8138c7d3921d76f2e574073e.jpg
Ecos en un Pueblo Fantasma,15900,14310,Editorial Planeta Chilena S.A.,0.10,Libro Físico,Edo Caroe Y Manuel Ugalde,https://www.buscalibre.cl/libro-ecos-en-un-pueblo-fantasma/9789564086569/p/62994367,Español,180,9789564086569,Chile,Tapa Blanda,2024,13.00,0.00,Sociedad y ciencias sociales,0,0.0,Libro Nuevo,83,https://images.cdn3.buscalibre.com/fit-in/360x360/f3/45/f3457dda883ec7d9d667bf838365aee8.jpg
La Clase de Griego,16000,13600,Random House,0.15,Libro Físico,Han Kang,https://www.buscalibre.cl/libro-la-clase-de-griego/9789566248170/p/55682908,Español,176,9789566248170,Chile,Tapa Blanda,2023,14.00,23.00,Ficción moderna y contemporánea,1,5.0,Libro Nuevo,64,https://images.cdn1.buscalibre.com/fit-in/360x360/05/e2/05e261dcc1cdf8957aa965603c552375.jpg
La asistenta,17000,14450,Suma,0.15,Libro Físico,Freida McFadden,https://www.buscalibre.cl/libro-la-asistenta/9789566190288/p/55968555,Español,344,9789566190288,Chile,Tapa Blanda,2024,22.00,15.00,Thrillers psicológicos,46,4.5,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/f2/61/f261ec0717d823439ddf47bedc1323fe.jpg
Tiempos Gloriosos / Glorious Times,20000,4000,"Plaza & Janes Editores, S.A.",0.80,Libro Físico,Anne Jacobs,https://www.buscalibre.cl/libro-tiempos-gloriosos-glorious-times/9788401024702/p/52407079,Español,624,9788401024702,Chile,Tapa Blanda,2020,22.90,15.10,Alemania; C. 1990-c. 1999; Ficción histórica; Ficción moderna y contemporánea; Novelas de amor históricas; Segunda guerra mundial; Segunda guerra mundial - (c. 1939-c. 1945),10,5.0,Libro Nuevo,71,https://images.cdn2.buscalibre.com/fit-in/360x360/73/e5/73e5d2d8abde81cc529e2488280e822f.jpg
Nexus,26000,22100,Penguin Random House Grupo Editorial,0.15,Libro Físico,Yuval Noah Harari,https://www.buscalibre.cl/libro-nexus/9789566247715/p/62978992,Español,602,9789566247715,Chile,Tapa Blanda,2024,23.00,0.00,"Ciencias económicas sobre finanzas, empresa y gestión; Computación y tecnología de la información; Tecnología, ingeniería, agricultura, procesos industriales",0,0.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/fa/c6/fac68e15de5ad45fa2056ac9773cb5ed.jpg
Alquimia para los tiempos que corren,15000,13500,AGUILAR,0.10,Libro Físico,Lita Donoso,https://www.buscalibre.cl/libro-alquimia-para-los-tiempos-que-corren/9789566289203/p/63164275,Español,132,9789566289203,Chile,Tapa Blanda,2024,23.00,15.00,Autoayuda y desarrollo personal,0,0.0,Libro Nuevo,58,https://images.cdn1.buscalibre.com/fit-in/360x360/4f/f3/4ff3542154e433df15b056762ad73e74.jpg
Horóscopo Chino 2025,18000,15300,Penguin Random House Grupo Editorial,0.15,Libro Físico,Ángeles Lasso,https://www.buscalibre.cl/libro-horoscopo-chino-2025/9789569998294/p/62726913,Español,416,9789569998294,Chile,Tapa Blanda,2024,23.00,15.00,Signos del zodíaco y horóscopos,0,0.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/0a/5a/0a5af85483ab66a2dfc279820e21f6a2.jpg
La Hora Azul,21900,19710,Editorial Planeta Chilena S.A.,0.10,Libro Físico,Hawkins Paula,https://www.buscalibre.cl/libro-la-hora-azul/9789564086606/p/62994375,Español,456,9789564086606,Chile,Tapa Blanda,2024,15.00,23.00,Novela negra,0,0.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/e9/5c/e95c5337e38b45378dfc42b8bc610251.jpg
Romper el Hielo,20000,11370,Penguin Random House Grupo Editorial,0.43,Libro Físico,Hannah Grace,https://www.buscalibre.cl/libro-romper-el-hielo/9789566205999/p/55937261,Español,448,9789566205999,Chile,Tapa Blanda,2024,23.00,0.00,Novelas de amor contemporáneo; Novelas de amor erótico,4,5.0,Libro Nuevo,29,https://images.cdn3.buscalibre.com/fit-in/360x360/f4/e0/f4e0d7d57592158d9ecdee1cf73bff9d.jpg
"Muchas vidas, muchos maestros",11000,9350,B DE BOLSILLO,0.15,Libro Físico,Brian Weiss,https://www.buscalibre.cl/libro-muchas-vidas-muchos-maestros/9789877801750/p/53137939,Español,240,9789877801750,Chile,Tapa Blanda,2020,19.00,12.50,"Motivación, autoestima y actitud positiva; Reencarnación y vidas pasadas",20,5.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/eb/86/eb86698f3bb556d5054afd670baee3fe.jpg
Alas de Hierro (Empíreo 2),27900,20930,Planeta,0.25,Libro Físico,Rebecca Yarros,https://www.buscalibre.cl/libro-alas-de-hierro-empireo-2/9789564084961/p/55829433,Español,880,9789564084961,Chile,Tapa Blanda,2024,15.00,23.00,Fantasía romántica,58,4.5,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/e7/fe/e7fe5b09e38b810687bc57c87f9ffb58.jpg
El Libro de los Dias,35000,7000,Lumen,0.80,Libro Físico,Patti Smith,https://www.buscalibre.cl/libro-el-libro-de-los-dias/9788426424471/p/54527580,Español,390,9788426424471,Chile,Tapa Blanda,2023,23.20,15.50,Autobiografías de escritores; Fotógrafos,1,5.0,Libro Nuevo,73,https://images.cdn1.buscalibre.com/fit-in/360x360/ae/30/ae30ab0ae2dcf0e846780baec78a0b37.jpg
El Libro de Bill,15900,13520,Planeta,0.15,Libro Físico,Alex Hirsch,https://www.buscalibre.cl/libro-el-libro-de-bill/9789564085937/p/62032756,Español,208,9789564085937,Chile,Tapa Blanda,2024,17.00,24.00,Ficción infantil y juvenil: terror y suspense,43,5.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/12/79/12798b635e427e9becdf113d914fcb87.jpg
Powerless,21926,14250,Penguin Random House,0.35,Libro Físico,Lauren Roberts,https://www.buscalibre.cl/libro-powerless/9786287659483/p/56624129,Español,600,9786287659483,Chile,Tapa Blanda,2024,15.00,21.00,"Fantasía, Ciencia Ficción",15,4.5,Libro Nuevo,31,https://images.cdn3.buscalibre.com/fit-in/360x360/45/b5/45b589d58797bc8060db47997bc0e41d.jpg
Keeping 13 (Los chicos de Tommen 2),54340,27170,Montena,0.50,Libro Físico,Chloe Walsh,https://www.buscalibre.cl/libro-keeping-13-los-chicos-de-tommen-2/9788419746993/p/55853628,Español,704,9788419746993,Chile,Tapa Blanda,2024,21.50,14.30,Cuestiones sobre relaciones romances y amor; Ficción infantil y juvenil: deportiva; Ficción infantil y juvenil: escolar; Ficción infantil y juvenil: general; Ficción infantil y juvenil: romántica,22,5.0,Libro Nuevo,9,https://images.cdn1.buscalibre.com/fit-in/360x360/b9/53/b953893e82ccfc5262ee0ccb2583ee27.jpg
Deja de ser tú,21000,17850,Ediciones Urano S.A.,0.15,Libro Físico,Joe Dispenza,https://www.buscalibre.cl/libro-deja-de-ser-tu/9789566196181/p/54451155,Español,352,9789566196181,Chile,Tapa Blanda,2022,23.00,15.00,Autoayuda y desarrollo personal,43,5.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/0b/7e/0b7eb0dc99d056d736e272290f8baadf.jpg
Meditaciones,9000,7650,Edaf,0.15,Libro Físico,Marcus Aurelius,https://www.buscalibre.cl/libro-meditaciones/9788441440272/p/53034673,Español,176,9788441440272,Chile,Tapa Blanda,2020,20.80,13.00,Biografías; Filosofía antigua griega y romana,20,5.0,Libro Nuevo,75,https://images.cdn2.buscalibre.com/fit-in/360x360/cf/41/cf41f1cfab59718659862df4346b9b8c.jpg
Alas de Sangre (Empíreo 1),23900,17930,Planeta,0.25,Libro Físico,Rebecca Yarros,https://www.buscalibre.cl/libro-alas-de-sangre-empireo-1/9789564084268/p/55573725,Español,528,9789564084268,Chile,Tapa Blanda,2023,23.00,15.00,Fantasía,123,4.5,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/3a/8b/3a8b469c3b4e6d649e307eb356b68d44.jpg
Una Corte de Niebla y Furia,24900,18680,Planeta,0.25,Libro Físico,Sarah J. Maas,https://www.buscalibre.cl/libro-una-corte-de-niebla-y-furia/9789564080079/p/53671143,Español,704,9789564080079,Chile,Tapa Blanda,2021,15.00,23.00,Ficción infantil  -  ficción juvenil: fantasía romántica; Ficción infantil y juvenil: general,33,5.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/c2/c8/c2c8fba0b4289596529dfbfec30cfe6a.jpg
El Gato que Amaba los Libros,15000,12750,Grijalbo narrativa,0.15,Libro Físico,Sosuke Natsukawa,https://www.buscalibre.cl/libro-el-gato-que-amaba-los-libros/9789562586115/p/54312199,Español,256,9789562586115,Chile,Tapa Blanda,2022,16.00,23.00,Ficción literaria,38,5.0,Libro Nuevo,94,https://images.cdn1.buscalibre.com/fit-in/360x360/ff/92/ff921b4c86ae5a6d70d68b4e6500667d.jpg
Una Corte de Alas y Ruina,24900,18680,Planeta,0.25,Libro Físico,Sarah J. Maas,https://www.buscalibre.cl/libro-una-corte-de-alas-y-ruina/9789564080086/p/53671144,Español,800,9789564080086,Chile,Tapa Blanda,2021,15.00,23.00,Ficción infantil y juvenil: general; Ficción infantil y juvenil: romántica,34,5.0,Libro Nuevo,70,https://images.cdn1.buscalibre.com/fit-in/360x360/70/2c/702c2fc82325c699b3ac7d559b77b6bb.jpg
Globalismo: Ingeniería Social y Control Total en el Siglo XXI,30379,19750,Harperenfoque,0.35,Libro Físico,Agustín Laje,https://www.buscalibre.cl/libro-globalismo-ingenieria-social-y-control-total-en-el-siglo-xxi/9781400331864/p/56130785,Español,600,9781400331864,Chile,Tapa Blanda,2024,15.00,22.00,Ciencias políticas; Materia antropología social y cultural etnográfica,88,4.5,Libro Nuevo,11,https://images.cdn1.buscalibre.com/fit-in/360x360/f6/71/f67161a3a3fcc427c371789b21c64921.jpg
Meditaciones,11000,9350,Taurus,0.15,Libro Físico,Marco Aurelio Antonino,https://www.buscalibre.cl/libro-meditaciones/9789569635601/p/53687126,Español,176,9789569635601,Chile,Tapa Blanda,2021,11.00,18.00,Filosofía,34,5.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/38/55/38550a82921e5504eeea954644e621bc.jpg
La Paciente Silenciosa,19000,16150,Alfaguara,0.15,Libro Físico,Alex Michaelides,https://www.buscalibre.cl/libro-la-paciente-silenciosa/9789563843910/p/54876501,Español,384,9789563843910,Chile,Tapa Blanda,2023,15.00,23.00,Ficción; Literatura juvenil,43,5.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/74/2f/742fd96dc09e7b29c609837f8aa137b0.jpg
Una Corte de Niebla y Furia. Edición Especial,27500,0,Crossbook,0.00,Libro Físico,Sarah J. Maas,https://www.buscalibre.cl/libro-una-corte-de-niebla-y-furia-edicion-especial/9788408290964/p/57023651,Español,592,9788408290964,Chile,Tapa Dura,2024,22.50,14.50,Fantasía romántica; Ficción infantil y juvenil: general,99,5.0,Libro Nuevo,62,https://images.cdn2.buscalibre.com/fit-in/360x360/19/4b/194bdcb66deb24d793e4b85cd8d3a5bf.jpg
Entiende a tu Perrhijo,16000,14400,Penguin Random House Grupo Editorial,0.10,Libro Físico,Jose Ramirez,https://www.buscalibre.cl/libro-entiende-a-tu-perrhijo/9789566129820/p/62986378,Español,184,9789566129820,Chile,Tapa Blanda,2024,15.00,23.00,"Estilos de vida, aficiones y ocio; Salud, relaciones y desarrollo personal",0,0.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/cd/ae/cdaec5416b50b36275da2a67a6323c03.jpg
Novilunio,29900,26910,Editorial Planeta Chilena S.A.,0.10,Libro Físico,Palacios Paulina,https://www.buscalibre.cl/libro-novilunio/9789566398004/p/62994443,Español,200,9789566398004,Chile,Tapa Blanda,2024,18.00,0.00,Cómics,0,0.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/14/a4/14a4b5d7f03753a14ca3409387f37f68.jpg
Bestiario de Creepychantas (Libro Firmado),20000,17000,Alfaguara,0.15,Libro Físico,Catalina Guerra Fuenzalida; Catalina Kennedy,https://www.buscalibre.cl/libro-bestiario-de-creepychantas-libro-firmado/9789563844863/p/62070927,Español,308,9789563844863,Chile,Tapa Blanda,2024,21.00,0.00,Historias tracicionales y mitos; Novelas gráficas,10,5.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/67/15/67150d22653b34b50c70d7ff885ae8bd.jpg
El poder del ahora,12000,10200,Debolsillo,0.15,Libro Físico,Eckhart Tolle,https://www.buscalibre.cl/libro-el-poder-del-ahora/9789877250992/p/47324752,Español,256,9789877250992,Chile,Tapa Blanda,2015,19.00,12.50,Autoayuda y desarrollo personal; Filosofía,47,4.5,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/1f/31/1f314eb5b2c37514a3c766f0dc5aa9f5.jpg
El Gato que Cuidaba las Bibliotecas,17000,14450,Penguin Random House Grupo Editorial,0.15,Libro Físico,Sosuke Natsukawa,https://www.buscalibre.cl/libro-el-gato-que-cuidaba-las-bibliotecas/9789562586726/p/62726905,Español,256,9789562586726,Chile,Tapa Blanda,2024,23.00,15.00,Cuestiones sobre amigos y amistad; Ficción moderna y contemporánea,0,0.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/26/70/2670d5b85e19e9005afbab10e9506dc0.jpg
Las mujeres de la guerra,20000,17000,Suma,0.15,Libro Físico,Hannah Kristin,https://www.buscalibre.cl/libro-las-mujeres-de-la-guerra/9786073843348/p/56140949,Español,536,9786073843348,Chile,Tapa Blanda,2024,15.00,22.00,Ficción moderna y contemporánea,1,5.0,Libro Nuevo,28,https://images.cdn2.buscalibre.com/fit-in/360x360/f1/57/f157875571adcae822f156369547eb42.jpg
Gravity Falls. Diario 3,14900,12670,Planeta Junior,0.15,Libro Físico,Disney,https://www.buscalibre.cl/libro-gravity-falls-diario-3/9789569992056/p/50306681,Español,288,9789569992056,Chile,Tapa Blanda,2018,13.00,21.00,"Niños de 7 años; Televisión, vídeo y películas para niños",115,5.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/59/f2/59f246aa099bdb72d421276d446674f9.jpg
El Monje que Vendió su Ferrari,11000,9350,Penguin Random House Grupo Editorial,0.15,Libro Físico,Robin Sharma,https://www.buscalibre.cl/libro-el-monje-que-vendio-su-ferrari/9789563255225/p/54332055,Español,216,9789563255225,Chile,Tapa Blanda,2022,19.00,12.50,Autoayuda y desarrollo personal,42,4.5,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/33/d6/33d6e00def7c190c019e6e244c23a683.jpg
"Recupera tu Mente, Reconquista tu Vida",24900,21170,Espasa,0.15,Libro Físico,Marian Rojas Estapé,https://www.buscalibre.cl/libro-recupera-tu-mente-reconquista-tu-vida/9789569973581/p/55984065,Español,320,9789569973581,Chile,Tapa Blanda,2024,15.00,23.00,Autoayuda y desarrollo personal,12,5.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/e2/85/e2855cedb629dcd08d4e56ccf7347440.jpg
El Secreto de la Asistenta,17000,13090,SUMA,0.23,Libro Físico,Freida McFadden,https://www.buscalibre.cl/libro-el-secreto-de-la-asistenta/9789566190325/p/56208962,Español,336,9789566190325,Chile,Tapa Blanda,2024,15.00,23.00,Ficción literaria; Thrillers psicológicos,15,4.5,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/67/24/6724d7d651dc10095c88db7c5e2509fe.jpg
Trono de Cristal,43115,28020,Editorial Hidra,0.35,Libro Físico,Sarah J. Maas,https://www.buscalibre.cl/libro-trono-de-cristal/9788410163621/p/62014272,Español,492,9788410163621,Chile,Tapa Dura,2024,22.00,15.00,Fantasía,29,5.0,Libro Nuevo,27,https://images.cdn2.buscalibre.com/fit-in/360x360/c8/9a/c89a32f88211b29c7c17e84d0ec41e93.jpg
Kamala Harris,16000,3200,Roca Editorial,0.80,Libro Físico,Dan Morain,https://www.buscalibre.cl/libro-kamala-harris/9788418557262/p/53185134,Español,288,9788418557262,Chile,Tapa Blanda,2021,21.50,16.00,"Biografías de personas históricas, políticos y soldados; Líderes y liderazgo político",4,4.5,Libro Nuevo,81,https://images.cdn3.buscalibre.com/fit-in/360x360/f4/48/f44809f3c0190e0cf46e84e1b29559b9.jpg
El Hilo Invisible,12000,10200,B De Blok,0.15,Libro Físico,Miriam Tirado,https://www.buscalibre.cl/libro-el-hilo-invisible/9789877804140/p/54641471,Español,64,9789877804140,Chile,Tapa Blanda,2023,15.00,21.00,Con ilustraciones de cuentos; Ficción,5,4.5,Libro Nuevo,15,https://images.cdn3.buscalibre.com/fit-in/360x360/87/b7/87b7bdf6835ca91cd98f7b944c3c5044.jpg
El Patio del Poder,18900,16070,Editorial Planeta,0.15,Libro Físico,Renato Garin González,https://www.buscalibre.cl/libro-el-patio-del-poder/9789564085432/p/56207857,Español,332,9789564085432,Chile,Tapa Blanda,2024,15.00,23.00,Sociedad y ciencias sociales,9,4.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/c8/88/c8884c066b060ea6ccc3fb9dfa3de2f3.jpg
Blackwater Iii. La Casa,12000,10800,Blackie Books,0.10,Libro Físico,Michael McDowell,https://www.buscalibre.cl/libro-blackwater-iii-la-casa/9789878453538/p/62986394,Español,272,9789878453538,Chile,Tapa Blanda,2024,11.00,17.00,Ficción,0,0.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/86/ee/86eed54fa40835d7f0eef2f147492c21.jpg
Diarios,26000,22100,Lumen,0.15,Libro Físico,Alejandra Pizarnik,https://www.buscalibre.cl/libro-diarios/9788426425485/p/54381503,Español,1104,9788426425485,Chile,Tapa Blanda,2022,23.20,15.20,Poesía,26,5.0,Libro Nuevo,45,https://images.cdn2.buscalibre.com/fit-in/360x360/7c/59/7c598de0afd763f19527e44f54f87431.jpg
Como Hacer que te Pasen Cosas Buenas,20900,17770,Espasa Calpe,0.15,Libro Físico,Marian Rojas Estapé,https://www.buscalibre.cl/libro-como-hacer-que-te-pasen-cosas-buenas/9789569973055/p/52017324,Español,232,9789569973055,Chile,Tapa Blanda,2018,23.00,15.00,Forma física y alimentación,101,5.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/a8/da/a8da6168d536d103f2247ffcf103785c.jpg
La disciplina marcará tu destino,17000,14450,CONECTA,0.15,Libro Físico,Ryan Holiday,https://www.buscalibre.cl/libro-la-disciplina-marcara-tu-destino/9789569328381/p/55977195,Español,320,9789569328381,Chile,Tapa Blanda,2024,15.00,23.00,"Estilos de vida, aficiones y ocio; Mente, cuerpo y espíritu; Motivación, autoestima y actitud positiva",1,5.0,Libro Nuevo,13,https://images.cdn2.buscalibre.com/fit-in/360x360/f7/f0/f7f0f21c117578f4811aa0d33f12b23f.jpg
Los Cuatro Acuerdos. Un Libro de Sabiduria Tolteca,14000,11900,Urano,0.15,Libro Físico,Dr. Miguel Ruiz,https://www.buscalibre.cl/libro-los-cuatro-acuerdos-un-libro-de-sabiduria-tolteca/9789567042692/p/54051654,Español,160,9789567042692,Chile,Tapa Blanda,2021,13.50,21.00,"Autoayuda y desarrollo personal; Espiritualismo; Meditación: mente, cuerpo y espíritu",43,5.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/ae/e3/aee30506f8b164094ec0800003306e14.jpg
Romper el Círculo,20900,13590,Editorial Planeta Chilena S.A.,0.35,Libro Físico,Colleen Hoover,https://www.buscalibre.cl/libro-romper-el-circulo/9789564086491/p/62423363,Español,400,9789564086491,Chile,Tapa Blanda,2024,15.00,23.00,Ficción,3,5.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/6d/19/6d1997f1e103cb49cb0fc6451b3107e7.jpg
Pecados 2. Rey de la Soberbia,21900,16430,Editorial Planeta Chilena S.A.,0.25,Libro Físico,Huang Ana,https://www.buscalibre.cl/libro-pecados-2-rey-de-la-soberbia/9789566145875/p/62647463,Español,464,9789566145875,Chile,Tapa Blanda,2024,14.00,0.00,Ficción,0,0.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/89/dc/89dc50c651a3fe4c8bfae757a7ef38fe.jpg
Las Homicidas,15000,12750,Lumen,0.15,Libro Físico,Alia Trabucco Zerán,https://www.buscalibre.cl/libro-las-homicidas/9789568856892/p/51422530,Español,230,9789568856892,Chile,Tapa Blanda,2019,13.00,0.00,Ensayos literarios; Ficción sobre crímenes y misterios,38,4.5,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/23/6c/236c7df3108f1e0cdc2b5937d6989225.jpg
Noches Blancas,3600,3060,LOM,0.15,Libro Físico,Fiódor M. Dostoyevski,https://www.buscalibre.cl/libro-noches-blancas/9789562821339/p/1065879,Español,85,9789562821339,Chile,Tapa Blanda,1999,,,Romance,29,4.0,Libro Nuevo,75,https://images.cdn3.buscalibre.com/fit-in/360x360/e5/d2/e5d2754d75ca8aafde3c33657b37c114.jpg
Érase una vez un Corazón Roto: Edición Limitada,27900,23720,Puck,0.15,Libro Físico,Stephanie Garber,https://www.buscalibre.cl/libro-erase-una-vez-un-corazon-roto-edicion-limitada/9788419252944/p/61998703,Español,352,9788419252944,Chile,Tapa Dura,2024,23.00,0.00,"Romance, Drama",24,5.0,Libro Nuevo,18,https://images.cdn3.buscalibre.com/fit-in/360x360/f1/72/f172589279b38d68defff592065879ac.jpg
La Enciclopedia de los Sabores (Vol. 2),24000,12590,Debate,0.48,Libro Físico,Niki Segnit,https://www.buscalibre.cl/libro-la-enciclopedia-de-los-sabores-vol-2/9788419642189/p/55678262,Español,528,9788419642189,Chile,Tapa Dura,2023,23.70,15.60,Cocina general y recetas,7,4.5,Libro Nuevo,13,https://images.cdn2.buscalibre.com/fit-in/360x360/63/ee/63eea8b3eea2a7dbdfb5628db63259ad.jpg
Quedará el Amor,20900,15680,Editorial Planeta Chilena S.A.,0.25,Libro Físico,Alice Kellen,https://www.buscalibre.cl/libro-quedara-el-amor/9789564086408/p/62522186,Español,400,9789564086408,Chile,Tapa Blanda,2024,15.00,23.00,Ficción,1,5.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/c9/f4/c9f4325aefd0b9c7eb13331c25c01103.jpg
Tan Poca Vida,29000,24650,Lumen,0.15,Libro Físico,Hanya Yanagihara,https://www.buscalibre.cl/libro-tan-poca-vida/9788426403278/p/47562044,Español,1008,9788426403278,Chile,Tapa Blanda,2016,23.00,15.20,Ficción moderna y contemporánea,102,5.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/80/d8/80d866852ab4cb5742b20eb5c450bd7e.jpg
Invisible,15000,10200,NUBE DE TINTA,0.32,Libro Físico,Eloy Moreno,https://www.buscalibre.cl/libro-invisible/9789871997534/p/53974850,Español,320,9789871997534,Chile,Tapa Blanda,2022,21.50,15.00,"Cuestiones sobre amigos y amistad; Cuestiones sobre autoconocimiento y autoestima; Cuestiones sobre emociones, estados de ánimo y sentimientos; Cuestiones sobre relaciones romances y amor; Ficción infantil y juvenil: general",5,4.5,Libro Nuevo,51,https://images.cdn1.buscalibre.com/fit-in/360x360/d5/67/d567f1b7bd7aff55880159d927e5a1e9.jpg
Cuando el Cielo se Vuelva Amarillo,50330,25170,Esencia,0.50,Libro Físico,Nerea Pascual,https://www.buscalibre.cl/libro-cuando-el-cielo-se-vuelva-amarillo/9788408292975/p/62024773,Español,336,9788408292975,Chile,Tapa Blanda,2024,23.00,15.00,"Drama, Literatura Contemporánea",5,5.0,Libro Nuevo,53,https://images.cdn1.buscalibre.com/fit-in/360x360/9d/75/9d7543d31b57e08e90c4712062b7f755.jpg
Beauchamp Hall,18000,3600,Plaza & Janés,0.80,Libro Físico,Danielle Steel,https://www.buscalibre.cl/libro-beauchamp-hall/9789566129622/p/55718495,Español,288,9789566129622,Chile,Tapa Blanda,2023,15.00,23.00,Novelas de amor contemporáneo,4,4.5,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/e3/24/e3241ec5904d4ebd0b780c6b85ac2dea.jpg
Una Corte de Rosas y Espinas,24900,18680,Planeta,0.25,Libro Físico,Sarah J. Maas,https://www.buscalibre.cl/libro-una-corte-de-rosas-y-espinas/9789563609974/p/53660663,Español,456,9789563609974,Chile,Tapa Blanda,2021,15.00,23.00,Ficción infantil  -  ficción juvenil: fantasía romántica,65,5.0,Libro Nuevo,53,https://images.cdn1.buscalibre.com/fit-in/360x360/f5/49/f5498ba410c7a1f977888afbcac2a3ad.jpg
Don Quijote de la Mancha. Edición Rae / Don Quixote de la Mancha. Rae,20000,17000,Lengua Viva,0.15,Libro Físico,Miguel de Servantes Saavedra,https://www.buscalibre.cl/libro-don-quijote-de-la-mancha-edicion-rae-don-quixote-de-la-mancha-rae/9788420412146/p/46781802,Español,1376,9788420412146,Chile,Tapa Dura,2015,20.50,13.30,Ficción clásica,140,5.0,Libro Nuevo,10,https://images.cdn3.buscalibre.com/fit-in/360x360/30/08/300822003676ba26360a2148939bb877.jpg
Una Corte de Llamas Plateadas,26900,20180,Planeta,0.25,Libro Físico,Sarah J. Maas,https://www.buscalibre.cl/libro-una-corte-de-llamas-plateadas/9789563609967/p/53618604,Español,816,9789563609967,Chile,Tapa Blanda,2021,14.50,22.50,Ficción infantil  -  ficción juvenil: fantasía; Ficción infantil y juvenil: romántica,54,5.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/dc/f9/dcf961234875f563820b68aa872b639f.jpg
La Bendicion del Oficial del Cielo 03. Ed. Especial,65270,32640,"Norma Editorial, S.A.",0.50,Libro Físico,Mo Xiang Tong Xiu,https://www.buscalibre.cl/libro-la-bendicion-del-oficial-del-cielo-03-ed-especial/9788467971422/p/62813816,Español,528,9788467971422,Chile,Tapa Dura,2024,,,"Fantasía, Romance",16,4.5,Libro Nuevo,17,https://images.cdn3.buscalibre.com/fit-in/360x360/6e/97/6e97675fb35b402f06deba4eba822105.jpg
La Bailarina de Auschwitz,10490,8920,Planeta,0.15,Libro Físico,Edith Eger,https://www.buscalibre.cl/libro-la-bailarina-de-auschwitz/9789566165361/p/54219011,Español,416,9789566165361,Chile,Tapa Blanda,2022,12.00,0.00,Ficción moderna y contemporánea; Novelas históricas alternativas,42,4.5,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/44/5b/445b354fb703ddc282cae340a89cfef2.jpg
